id,city,continent
1,Mexico City,America
2,New York,America
3,Los Angeles,America
4,Perth,Australia
5,Chicago,America
6,Edmonton,America
7,Prague,Europe
8,Phoenix,America
9,Vancouver,America
10,Denver,America
11,Kuala Lumpur,Asia
12,Taipei,Asia
13,Indianapolis,America
14,Melbourne,Australia
15,Toronto,America
16,Monterrey,America
17,Noumea,Pacific
18,Winnipeg,America
19,Berlin,Europe
20,Kuching,Asia
21,Rome,Europe
22,Madrid,Europe
23,Bucharest,Europe
24,Ljubljana,Europe
25,Buenos Aires,America
26,Warsaw,Europe
27,Montreal,America
28,Paris,Europe
29,Puerto Rico,America
30,Sao Paulo,America
31,Halifax,America
32,London,Europe
33,Manila,Asia
34,Jakarta,Asia
35,Cordoba,America
36,Amsterdam,Europe
37,Regina,America
38,Stockholm,Europe
39,Athens,Europe
40,Guayaquil,America
41,Bangkok,Asia
42,Brisbane,Australia
43,Dublin,Europe
44,Oslo,Europe
45,Tokyo,Asia
46,Brunei,Asia
47,Vienna,Europe
48,Istanbul,Europe
49,Zurich,Europe
50,Hong Kong,Asia
51,Nicosia,Asia
52,Vilnius,Europe
53,Detroit,America
54,Singapore,Asia
55,Auckland,Pacific
56,Ho Chi Minh,Asia
57,Dubai,Asia
58,Copenhagen,Europe
59,Sydney,Australia
60,Honolulu,Pacific
61,Isle of Man,Europe
62,Bahia,America
63,Boise,America
64,Tunis,Africa
65,Bogota,America
66,Lisbon,Europe
67,Santiago,America
68,Zagreb,Europe
69,Kolkata,Asia
70,Brussels,Europe
71,Luanda,Africa
72,Bratislava,Europe
73,Guam,Pacific
74,Tripoli,Africa
75,Hobart,Australia
76,Costa Rica,America
77,Nairobi,Africa
78,Fortaleza,America
79,Cairo,Africa
80,Belem,America
81,Casablanca,Africa
82,Reykjavik,Atlantic
83,Luxembourg,Europe
84,Phnom Penh,Asia
85,Jerusalem,Asia
86,Karachi,Asia
87,Kiev,Europe
88,Tahiti,Pacific
89,Louisville,America
90,Moscow,Europe
91,Damascus,Asia
92,Reunion,Indian
93,Helsinki,Europe
94,Monrovia,Africa
95,Amman,Asia
96,Guyana,America
97,Adelaide,Australia
98,Sarajevo,Europe
